episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
0,-0.022400439,0.011799097,-2.0,1035.6624887999255,3,0,108,196.05841353186887,196.05841351393212,23.0-20.0-22.0-20.0-22.0,0.35381907,0.13854703,0.43350542
1,-0.020757115,0.011747804,-2.0,1055.020017411426,13,0,107,195.4698051155988,195.46980510068323,23.0-25.0-26.0-23.0-25.0,0.25782022,0.050228246,0.41815314
2,-0.022304488,0.011361885,-2.0,1057.2763888612212,0,0,101,196.23099382587307,196.23099380749224,20.0-22.0-20.0-20.0-20.0,0.2823364,0.08473268,0.39818075
3,-0.022144219,0.011697612,-2.0,1048.6348133024233,4,0,110,196.01036814600437,196.01036812858092,22.0-22.0-22.0-22.0-22.0,0.2165162,0.04143154,0.3531614
4,-0.023179786,0.011747804,-2.0,1057.2763888612212,0,0,118,196.23099382587307,196.23099380749224,20.0-20.0-20.0-20.0-22.0,0.19870368,0.030338282,0.33972463
5,-0.021566933,0.011747804,-2.0,1057.2763888612212,0,0,104,196.23099382587307,196.23099380749224,20.0-22.0-20.0-20.0-20.0,0.2927252,0.11351166,0.361428
6,-0.02102692,0.01148676,-2.0,1009.8423603220771,13,0,117,195.5463507097201,195.54635069408405,25.0-22.0-25.0-30.0-22.0,0.2267004,0.063648514,0.32910642
7,-0.004752173,0.0116746565,-0.03443832,1057.2763888612212,0,0,124,196.23099382587307,196.23099380749224,20.0-22.0-20.0-20.0-20.0,0.14276628,0.04559352,0.19736119
8,-0.004108082,0.0118785035,-0.031564336,1035.8643661377664,13,0,124,195.50288776642108,195.50288775054582,28.000000000000004-25.0-23.0-23.0-23.0,0.14306682,0.057277348,0.17459461
9,-0.0038424507,0.011776925,-0.03276917,1016.556341067247,37,0,124,194.2940996732686,194.29409966206114,34.0-28.000000000000004-36.0-33.0-30.0,0.14709295,0.063415535,0.17037973
10,-0.0030550028,0.011741712,-0.03382719,1011.4940716740185,16,0,124,195.35865509016642,195.3586550750723,28.000000000000004-23.0-26.0-26.0-23.0,0.103158526,0.025758673,0.15782814
11,-0.0036721604,0.011279433,-0.03269569,1045.54467270861,2,0,124,196.09089813220075,196.09089811468445,20.0-20.0-23.0-20.0-22.0,0.111651115,0.027340911,0.17161788
12,-0.0012174046,0.011653587,-0.028253425,955.0045028392813,55,0,124,193.66525620945131,193.66525619941598,50.0-26.0-41.0-39.0-33.0,0.09605908,0.025077982,0.14492272
13,-0.00049655675,0.0118785035,-0.030367782,919.0113624004083,40,0,124,194.26408473180305,194.26408471968338,47.0-23.0-38.0-31.0-26.0,0.11024318,0.05181242,0.11977677
14,-5.1136398e-05,0.011719862,-0.028051361,946.467992613032,29,0,124,194.7228100634451,194.72281004973007,42.0-25.0-33.0-25.0-23.0,0.10059204,0.035177458,0.13360469
15,-0.007319669,0.0118785035,-1.0,868.3812555383362,73,0,124,193.17985541363157,193.179855404328,73.0-28.000000000000004-50.0-39.0-28.000000000000004,0.113689974,0.027818155,0.17451327
16,-0.0140783815,0.011675771,-2.0,894.0805670597435,65,0,73,193.41120286834172,193.41120286030124,46.0-25.0-65.0-39.0-31.0,0.36038673,0.23596662,0.25168794
17,-0.016824195,0.011719862,-2.0,977.5515658842236,41,0,111,194.11109727141363,194.11109726142558,31.0-30.0-47.0-34.0-25.0,0.12683807,0.027157754,0.20231885
18,-0.0035904078,0.011362774,-0.033772364,1028.162064885359,52,0,124,193.7484938287338,193.74849381927103,39.0-28.000000000000004-41.0-39.0-38.0,0.09719696,0.038152058,0.12100973
19,0.0010909161,0.0118785035,-0.025042985,876.4180779913221,81,0,124,192.98130459631258,192.98130458898964,55.00000000000001-28.000000000000004-65.0-54.0-30.0,0.15835595,0.096811585,0.12583172
20,-0.0132720005,0.0118785035,-2.0,828.3509596089025,90,0,90,192.94475407213156,192.9447540647387,73.0-22.0-74.0-44.0-33.0,0.23845255,0.10612169,0.26743102
21,-0.00025175416,0.011681761,-0.026828516,982.1404758216821,39,0,124,194.18910817438658,194.18910816391252,33.0-28.000000000000004-44.0-33.0-26.0,0.09644645,0.0481666,0.099423796
22,-0.014261645,0.011761054,-2.0,905.0863776451541,59,0,84,193.561368985096,193.5613689769566,39.0-30.0-66.0-36.0-25.0,0.22290461,0.09850519,0.251446
23,-0.014102778,0.011675771,-2.0,898.0673545788103,54,0,54,193.79299783733669,193.7929978292147,31.0-26.0-73.0-34.0-23.0,0.60945123,0.4416818,0.3382188
24,-0.01634143,0.011754961,-2.0,910.5237985023714,58,0,111,193.64386760843436,193.64386759971754,44.0-23.0-60.0-34.0-33.0,0.1272055,0.02318543,0.2109695
25,-0.017871536,0.0118785035,-2.0,934.9377288563542,37,0,119,194.30463915883098,194.30463914756632,36.0-28.000000000000004-42.0-34.0-20.0,0.116828814,0.01048329,0.21560173
26,-0.01704723,0.0118785035,-2.0,986.964233027224,61,0,104,193.33770718526227,193.33770717713782,39.0-36.0-54.0-46.0-25.0,0.3139291,0.18169658,0.2673532
27,-0.014730507,0.0118785035,-2.0,899.2766841899029,90,0,104,192.72602667192987,192.7260266646811,73.0-34.0-66.0-44.0-28.000000000000004,0.0966309,-0.0003436635,0.19677065
28,-0.014426352,0.0118785035,-2.0,907.0337761467985,79,0,84,193.00975171778637,193.00975171040147,60.0-30.0-70.0-36.0-33.0,0.114787646,0.013954963,0.20456453
29,-0.0032673841,0.011754961,-0.038973734,961.8913693245887,31,0,124,194.57430733765156,194.57430732482902,39.0-28.000000000000004-34.0-28.000000000000004-22.0,0.051144708,0.0069447737,0.09117091
30,-0.013754251,0.011799097,-2.0,868.3752560034923,111,0,115,192.55898873114975,192.5589887246143,92.0-30.0-78.0-49.0-31.0,0.14192279,0.04210878,0.20235424
31,-5.9251866e-05,0.011799097,-0.026849536,938.8879698405426,80,0,124,192.9236721254432,192.92367211788718,60.0-30.0-57.99999999999999-46.0-36.0,0.053176094,0.016800195,0.0755598
32,-0.012968406,0.011799097,-2.0,780.6350990165721,83,0,97,193.07026710137657,193.07026709288172,79.0-26.0-66.0-41.0-22.0,0.1912598,0.076395065,0.23243533
33,-0.01359648,0.0118785035,-2.0,855.5803431223234,98,0,98,192.7216646586177,192.72166465148183,84.0-31.0-76.0-41.0-26.0,0.11861964,0.033312738,0.17327756
34,-0.13818401,0.0118785035,-1.0,1007.0182282803074,15,0,124,195.35123710723275,195.351237091695,31.0-26.0-26.0-22.0-20.0,1.452555,0.003953039,2.8999183
35,-0.00026892984,0.0118785035,-0.026508931,937.6319327396418,52,0,124,193.734363883679,193.73436387355713,49.0-28.000000000000004-44.0-36.0-28.000000000000004,0.11098854,0.032795653,0.15910383
36,-0.03041888,0.0117109,-1.0,876.498524705951,97,0,124,192.6404817499843,192.64048174251053,86.0-31.0-63.0-47.0-30.0,0.24310414,0.032028664,0.4249115
37,-0.054934077,0.011640797,-1.0,842.3531888285297,65,0,124,193.4192730711266,193.41927306141793,68.0-28.000000000000004-55.00000000000001-31.0-23.0,0.39549977,0.038671218,0.71622753
38,-0.013432573,0.0118785035,-2.0,841.8257150205687,77,0,77,193.1415127778049,193.14151276988957,65.0-28.000000000000004-73.0-34.0-25.0,-0.14089136,-0.254835,0.23051672
39,-0.012991322,0.0118785035,-2.0,804.7973767464799,95,0,95,192.82524833927238,192.82524833189936,81.0-28.000000000000004-76.0-46.0-23.0,0.062351942,-0.016451256,0.1601627
40,-0.013609923,0.0118785035,-2.0,856.7084223315001,68,0,68,193.38036686796744,193.38036685961185,57.99999999999999-26.0-71.0-28.000000000000004-26.0,0.113231845,0.019081494,0.19094537
41,-0.09411956,0.011596752,-1.0,863.5811297951897,85,0,124,192.95233627478436,192.95233626645512,82.0-28.000000000000004-62.0-34.0-31.0,0.89293134,0.032208733,1.7241628
42,0.00021744848,0.011834322,-0.029936487,909.687581989887,60,0,124,193.4755473307592,193.47554732083336,60.0-30.0-46.0-36.0-26.0,0.12650199,0.060589474,0.13462465
43,-0.013945865,0.0118785035,-2.0,871.1879380111162,72,0,77,193.27241983517965,193.27241982699766,62.0-25.0-68.0-30.0-33.0,0.30891973,0.17678082,0.26694182
44,-0.013679964,0.0118785035,-2.0,862.5859036921756,93,0,93,192.86498247550435,192.86498246793803,86.0-28.000000000000004-74.0-31.0-31.0,0.077527165,-0.008878072,0.17541872
45,0.0006252352,0.011741712,-0.02951714,877.5074249627932,72,0,124,193.16616650823607,193.16616649882383,73.0-30.0-49.0-39.0-26.0,0.06605922,0.034298822,0.06628512
