episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
0,-0.019324355,0.011731996,-2.0,1042.5407302176432,20,0,110,195.11201428835352,195.11201427384947,30.0-30.0-23.0-30.0-22.0,0.20303129,0.07478813,0.2596119
1,-0.0031520796,0.011646682,-0.03576664,989.5032642590777,32,0,124,194.51597111895194,194.5159711073408,34.0-26.0-42.0-22.0-28.000000000000004,0.07626298,0.025859611,0.1039287
2,-0.0028537873,0.0118785035,-0.03439689,1018.5572585099621,28,0,124,194.77297972612692,194.77297971314033,31.0-25.0-28.000000000000004-34.0-28.000000000000004,0.07725927,0.029263496,0.099101275
3,-0.0029051027,0.011799097,-0.031025507,985.674481067372,46,0,124,193.97811059391768,193.97811058316472,44.0-28.000000000000004-38.0-34.0-31.0,0.064484194,0.0182913,0.09547562
4,-0.0031936853,0.011608682,-0.036637403,1043.5888973092462,8,0,124,195.72369272274454,195.72369270672078,22.0-23.0-25.0-23.0-22.0,0.059041012,0.018382395,0.08435635
5,-0.015497505,0.0118785035,-2.0,986.7620297364175,89,0,110,192.65830038576422,192.65830037909743,63.0-36.0-68.0-41.0-36.0,0.086639136,0.008823012,0.158622
6,-0.017747922,0.011013858,-2.0,986.5901628086395,30,0,121,194.5833461167686,194.5833461049036,31.0-28.000000000000004-39.0-28.000000000000004-23.0,0.12306244,0.026315708,0.19651276
7,-0.017442817,0.011545384,-2.0,1017.9571208005653,49,0,106,193.72484808990652,193.7248480805345,39.0-36.0-47.0-31.0-26.0,0.06979264,-0.020634273,0.18385674
8,-0.00030743278,0.011684383,-0.030331336,900.4632796778827,52,0,124,193.76471565029763,193.76471564007585,52.0-28.000000000000004-49.0-31.0-25.0,0.05673434,0.018653225,0.07912266
9,-0.014446545,0.011761054,-2.0,903.7650193634887,63,0,84,193.44318442330206,193.44318441487735,50.0-26.0-63.0-31.0-31.0,0.18871284,0.07752777,0.22526969
10,-0.015844323,0.0118785035,-2.0,980.0085175164005,37,0,83,194.31984785717077,194.3198478458624,39.0-26.0-42.0-23.0-30.0,0.119635515,0.024839701,0.19249688
