episode,time,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
0,0,-0.0020021992,0.0118785035,-0.03324241,953.3739460728226,51,1,124,193.77345654221907,193.77345653265667,42.0-28.000000000000004-49.0-34.0-30.0,0.07821598,0.022733448,0.11405646
1,0,-0.018000126,0.011529626,-2.0,1002.1508182242746,52,0,124,193.65735595143485,193.65735594211424,38.0-36.0-42.0-46.0-23.0,0.122195706,0.01774125,0.21197942
2,0,-0.018001784,0.011834322,-2.0,1004.6420898045257,21,0,104,195.054251523923,195.05425151053439,26.0-25.0-33.0-28.000000000000004-23.0,0.14225505,0.043821678,0.19993313
3,0,-0.01854593,0.0116403205,-2.0,1032.3548813907917,34,0,118,194.38337094924972,194.38337093867227,26.0-28.000000000000004-42.0-30.0-30.0,0.11835626,0.023697069,0.19234028
4,0,-0.017660905,0.0118785035,-2.0,957.8097714967608,32,0,114,194.49376285585046,194.49376284456196,30.0-28.000000000000004-44.0-31.0-20.0,0.12543191,0.03172249,0.19044739
5,0,-0.017084926,0.011504041,-2.0,1036.4067879968666,14,0,122,195.45051289203593,195.4505128770029,25.0-23.0-26.0-25.0-25.0,0.12578996,0.03777087,0.17898451
6,0,-0.015378562,0.011719862,-2.0,965.7323691375318,51,0,85,193.73161825482117,193.7316182458901,36.0-30.0-54.0-36.0-28.000000000000004,0.18737338,0.08111116,0.21544133
7,0,-0.0154623985,0.0118785035,-2.0,890.3467820337961,75,0,120,193.08420684511933,193.0842068374143,54.0-30.0-62.0-49.0-28.000000000000004,0.07903172,-0.007681025,0.1764122
8,0,-0.00060110015,0.011545384,-0.030931318,1013.3905147141259,76,0,124,192.89480891811257,192.89480891085384,50.0-38.0-56.99999999999999-46.0-33.0,0.08547101,0.045925383,0.08209404
9,0,-0.015256072,0.011754961,-2.0,972.1871915750892,39,0,76,194.20509322621115,194.2050932159462,33.0-26.0-49.0-28.000000000000004-28.000000000000004,0.18281953,0.08584184,0.19694622
10,0,-0.017656695,0.011372026,-2.0,976.2013795977135,24,0,105,194.84639747713277,194.84639746404525,33.0-28.000000000000004-38.0-22.0-20.0,0.052315347,-0.027181314,0.16204563
11,0,-0.01948096,0.011662524,-2.0,1006.3543937484831,16,0,119,195.31942917762927,195.31942916345264,23.0-23.0-31.0-28.000000000000004-22.0,0.08932496,0.0043795933,0.17299893
12,0,-0.01923978,0.011365481,-2.0,1025.983063140489,17,0,106,195.24498544591896,195.24498543207704,23.0-23.0-31.0-26.0-25.0,0.13520016,0.042754628,0.18801413
13,0,-0.002859568,0.011438406,-0.034811445,1027.703165330615,10,0,124,195.68180847404,195.68180845789482,25.0-22.0-25.0-23.0-23.0,0.059951365,0.024290148,0.074440986
14,0,-0.01834846,0.0118785035,-2.0,967.6447907293579,65,0,109,193.23144618043028,193.23144617173426,54.0-36.0-49.0-41.0-26.0,0.1363828,0.045193087,0.18549547
15,0,-0.0027626376,0.0118785035,-0.030923832,1036.5827915248612,6,0,124,195.90326558960845,195.9032655720526,25.0-22.0-20.0-23.0-22.0,0.042172007,0.0073331967,0.07277186
16,0,-0.0009283828,0.011523687,-0.029016476,976.6635924245835,34,0,124,194.52066795861504,194.52066794598633,38.0-25.0-30.0-38.0-26.0,0.073860735,0.03820284,0.07437873
17,0,-0.01710548,0.011834322,-2.0,974.4959671371491,44,0,113,194.02915806857672,194.02915805775802,39.0-31.0-36.0-42.0-23.0,0.1661129,0.06937888,0.19647281
18,0,-0.0002351701,0.011501453,-0.031161396,920.579249104784,57,0,124,193.6199382976135,193.61993828893353,36.0-26.0-52.0-52.0-26.0,0.051575694,0.021869805,0.062354565
19,0,-0.013581249,0.0118785035,-2.0,840.3007612776163,91,0,92,192.90520368817164,192.9052036817742,50.0-30.0-79.0-63.0-25.0,0.15158333,0.051142782,0.20381679
20,0,-0.015320608,0.011539498,-2.0,931.2253693760766,82,0,95,192.91973018934684,192.91973018268064,50.0-34.0-74.0-44.0-30.0,0.11666725,0.03859429,0.15912373
21,0,-0.015229665,0.011523687,-2.0,916.848003821222,74,0,109,193.1007586532404,193.100758645728,50.0-28.000000000000004-63.0-46.0-33.0,0.09753386,0.0034503937,0.19113554
22,0,-0.00060573814,0.011834322,-0.03393009,944.2907820511232,49,0,124,193.8503280091818,193.85032799963204,38.0-28.000000000000004-49.0-39.0-26.0,0.063012704,0.031257153,0.066422224
23,0,-0.014931973,0.011697612,-2.0,950.2175240040569,65,0,109,193.35234699213757,193.35234698434073,39.0-28.000000000000004-57.99999999999999-47.0-33.0,0.18102336,0.08501802,0.19488624
24,0,-0.014320284,0.011326476,-2.0,914.4341620325772,78,0,89,193.05003331382594,193.05003330680665,46.0-26.0-66.0-54.0-34.0,0.106782794,0.020864755,0.1747946
25,0,-0.018302698,0.011036259,-2.0,1009.6199873110234,17,0,121,195.22175900523624,195.2217589916059,23.0-25.0-34.0-25.0-22.0,0.092599794,0.018368136,0.15150458
26,0,-0.00012535931,0.011404187,-0.02826471,980.7738619417224,89,0,124,192.62924176895507,192.629241762206,56.99999999999999-36.0-57.99999999999999-60.0-33.0,0.055152927,0.02740812,0.058530554
27,0,-0.00039203078,0.011799097,-0.030918354,958.3259195896602,79,0,124,192.88001722349597,192.8800172159681,56.99999999999999-33.0-55.00000000000001-50.0-33.0,0.042684514,0.01962452,0.04909753
28,0,-0.017133154,0.011834322,-2.0,994.971699432541,45,0,121,194.00472919051083,194.00472918017078,34.0-30.0-36.0-47.0-26.0,0.11565631,0.03981335,0.15463026
29,0,0.00052113866,0.01180519,-0.02699271,925.8302744384908,45,0,124,194.03134791108184,194.03134790034505,42.0-26.0-42.0-38.0-25.0,0.044039596,0.023715977,0.043621846
30,0,-0.016628403,0.011601631,-2.0,994.6938822673467,71,0,106,193.05050555669095,193.0505055493096,47.0-38.0-62.0-39.0-30.0,0.08446138,0.01862755,0.13457124
31,0,-0.013994773,0.011799097,-2.0,823.6710960967347,74,0,100,193.214278121594,193.2142781131709,65.0-26.0-65.0-39.0-25.0,0.28373447,0.20763232,0.15515302
32,0,0.0003364756,0.0117109,-0.0290968,903.0671051779666,77,0,124,193.00953423704306,193.00953422952682,54.0-30.0-62.0-50.0-30.0,0.040146742,0.020041721,0.04309086
33,0,0.0014446783,0.01180519,-0.025927657,867.2130068755297,101,0,124,192.60649440440147,192.60649439733632,84.0-31.0-68.0-50.0-30.0,0.04983083,0.029315805,0.043822452
34,0,-0.013455401,0.011702227,-2.0,840.2492090378038,82,0,106,192.97492772995673,192.97492772191418,70.0-26.0-62.0-47.0-28.000000000000004,0.16091894,0.0636132,0.19754331
